SMILES,SMILES_state,NLL,canonical_smiles,MW,cLogP,HBD,HBA,TPSA,QED,SA_score,scaffold,has_hydroxyl,has_amine,has_carbonyl,has_amide,has_halogen_F,has_halogen_Cl,has_halogen_Br,has_aromatic_ring,has_piperidine,has_piperazine,has_morpholine,fingerprint,nearest_active_sim,nearest_active_idx,cluster_morgan,cluster_avalon,cluster_maccs,top_functional_group
Nc1ccc(Nc2ncc(C(F)(F)F)c(OC3CCOC3)n2)cc1,1,32.67,Nc1ccc(Nc2ncc(C(F)(F)F)c(OC3CCOC3)n2)cc1,340.3050000000001,2.988900000000001,2,6,82.29,0.8328817735373979,3.0135424359953493,c1ccc(Nc2nccc(OC3CCOC3)n2)cc1,False,True,False,False,True,False,False,True,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78748bede420>,0.5483870967741935,1185,3842,363,0,aniline
COc1ccc(-c2nc3ccc(CN4CCOCC4)cc3[nH]2)cc1,1,27.43,COc1ccc(-c2nc3ccc(CN4CCOCC4)cc3[nH]2)cc1,323.39599999999996,3.0707000000000013,1,4,50.38,0.8015437171505086,1.9973047433182956,c1ccc(-c2nc3ccc(CN4CCOCC4)cc3[nH]2)cc1,False,False,False,False,False,False,False,True,False,False,True,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78748bd4bdf0>,0.4861111111111111,1211,412,1,0,ether
O=C(Nc1ccc(-c2cn[nH]c2)cc1)C1CCCCC1,1,24.73,O=C(Nc1ccc(-c2cn[nH]c2)cc1)C1CCCCC1,269.34799999999996,3.595500000000002,2,2,57.78,0.8941213550801391,1.9786054955218155,O=C(Nc1ccc(-c2cn[nH]c2)cc1)C1CCCCC1,False,False,True,True,False,False,False,True,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78748bd43760>,0.48148148148148145,767,672,16,1,NH1
CC(C)(O)CNC(=O)c1n[nH]c2ccccc12,1,24.55,CC(C)(O)CNC(=O)c1n[nH]c2ccccc12,233.27100000000004,1.0635999999999999,3,3,78.00999999999999,0.7414943545329546,2.20688032979473,c1ccc2[nH]ncc2c1,True,False,True,True,False,False,False,True,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78748bd31380>,0.47058823529411764,1283,1240,36,0,NH1
COc1ccc(NC(=O)c2c(-c3ccccc3)nc3ccccn23)cc1,1,26.32,COc1ccc(NC(=O)c2c(-c3ccccc3)nc3ccccn23)cc1,343.386,4.262200000000002,1,3,55.629999999999995,0.602178218263054,1.932496695941392,O=C(Nc1ccccc1)c1c(-c2ccccc2)nc2ccccn12,False,False,True,True,False,False,False,True,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78748bed3d10>,0.453125,644,62,5,0,NH0
O=C(Nc1nnc(-c2ccsc2)s1)C1CCOCC1,1,26.43,O=C(Nc1nnc(-c2ccsc2)s1)C1CCOCC1,295.3890000000001,2.6317000000000004,1,6,64.11,0.9451412428759169,2.4077442731948473,O=C(Nc1nnc(-c2ccsc2)s1)C1CCOCC1,False,False,True,True,False,False,False,False,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78748bef45f0>,0.43103448275862066,1184,3160,13,0,NH0
CCCC(NS(=O)(=O)c1ccc(Nc2nccc(-c3cccnc3)n2)cc1)c1ccccc1,1,33.03,CCCC(NS(=O)(=O)c1ccc(Nc2nccc(-c3cccnc3)n2)cc1)c1ccccc1,459.57500000000016,5.101900000000004,2,6,96.87,0.3613467618171523,2.7249864240097867,O=S(=O)(NCc1ccccc1)c1ccc(Nc2nccc(-c3cccnc3)n2)cc1,False,True,False,False,False,False,False,True,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78748bd40cf0>,0.4266666666666667,388,752,2,4,NH0
C=CCNC(=O)C(=Cc1cn(-c2ccc(OC)cc2)nc1-c1ccccc1)NC(=O)c1ccco1,1,38.38,C=CCNC(=O)C(=Cc1cn(-c2ccc(OC)cc2)nc1-c1ccccc1)NC(=O)c1ccco1,468.51300000000015,4.214000000000003,2,5,98.39,0.28321871240878677,2.5241283811442408,O=C(NC=Cc1cn(-c2ccccc2)nc1-c1ccccc1)c1ccco1,False,False,True,True,False,False,False,True,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78748befc510>,0.425,644,2909,0,0,C_O
COc1ccc(C(=O)N2CCN(S(=O)(=O)NCc3ccncc3)CC2)cc1,1,30.63,COc1ccc(C(=O)N2CCN(S(=O)(=O)NCc3ccncc3)CC2)cc1,390.46500000000015,0.8825999999999996,1,5,91.84,0.7906927359928011,2.083756131668192,O=C(c1ccccc1)N1CCN(S(=O)(=O)NCc2ccncc2)CC1,False,True,True,True,False,False,False,True,False,True,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78748bd4f990>,0.42424242424242425,1066,291,58,0,NH0
COc1cccc(C(=O)Nc2ccc(Nc3cc(Cl)ccc3C)cn2)c1,1,30.33,COc1cccc(C(=O)Nc2ccc(Nc3cc(Cl)ccc3C)cn2)c1,367.83600000000007,5.047920000000003,2,4,63.25,0.6621056059191286,1.910166079900252,O=C(Nc1ccc(Nc2ccccc2)cn1)c1ccccc1,False,True,True,True,False,True,False,True,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x78748befe650>,0.42424242424242425,1249,211,35,0,aniline
