SMILES,SMILES_state,NLL
CC(C)OP(=O)(O)CC(C(C)(C)C)C(C)(Oc1ccc(C(C)C)cc1)c1ccccc1,1,48.82
Cc1cc(S(N)(=O)=O)cc(Br)c1C(=O)O,1,26.87
O=C(O)CC(c1ccccc1)c1cccnc1,1,24.82
Nn1c(SCC(=O)NC(c2cccs2)c2cccs2)nnc1-c1ccncc1,1,28.3
COc1ccc(-n2c(OCCCC#N)cc3ncc(SC)cc32)cc1,1,44.67
O=C(NC1(CC(=O)N2CC3C(C2)C3C(=O)O)CC1)OCC1c2ccccc2-c2ccccc21,1,32.54
Cc1ccc(OCC(=O)NN=Cc2cc3c(cc2[N+](=O)[O-])OCCO3)c(C(C)(C)C)c1,1,33.75
CCCCOC(=O)CSCc1[nH]c(=O)n(C)c1Cl,1,39.57
C#Cc1ccc(C#Cc2ccc(C#CCCO)cn2)cc1C#CCCCCCC,1,43.97
CCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC,1,31.64
CCOCCc1cn(-c2ccc(C)cc2)c(=O)n(C)c1=O,1,34.15
CC1CCC(Cc2ccc(F)cc2)CN1CC1CCC(O)CC1,1,31.6
O=C(Nc1ccc(Cl)c(C(=O)O)c1)c1cn[nH]n1,1,24.56
CCC(C)NCC(=O)Nc1ccc(N2CCCC2)cc1,1,26.81
O=C(NC(O)(C(=O)C(F)F)C(F)(F)F)c1ccoc1,1,37.37
CC1CCc2ncn(CC(=O)NN=Cc3ccc(F)cc3)c2C1,1,33.32
CCc1ccc2c(NC(=O)CCl)cc(=O)oc2c1,1,31.75
CCCOc1ccc(C(N)=NCc2c(CC)nn(C)c2CC)cc1,1,31.91
CC(C)CC(C)NC(=O)c1ccc(O)cc1O,1,25.76
COc1cccc(S(C)(=O)=O)c1CNC(=O)c1nc(F)c(F)cc1N,1,42.75
CCCC1CC1NCCCC(=O)N(C)CC,1,27.28
Cc1ccc(C(=O)NCC(C)(C)CN)s1,1,24.88
Cc1cc(CN2CCC3NCCCC32)ccc1F,1,30.27
CCNC(=O)CCNC(=NC)NCc1nncn1C,1,28.36
CCOC(=O)c1cc(C)n(-c2ccc(F)cc2C)n1,1,26.97
CC(C)(C)CCNC1C2CCC(C2)CC1(C)C,1,32.51
CCOC(=O)CCn1cc(NCCOCC(C)C)cn1,1,31.14
CCc1ccc(C)c(Cl)c1OC,1,24.18
Cc1ncc2n1CCCC2N,1,23.47
COc1ccc(N(C)C(=O)CCNC(=O)Cn2ccnc2)cc1,1,33.22
COc1ccc(F)c(C(C2CCN(C(=O)N3CCOCC3)CC2)N2CCc3ccc(OC)c(SF)c3C2)c1,1,61.07
O=S(=O)(Cc1ncns1)c1ccc([NH+]([O-])O)cc1,1,35.71
C=Cc1ccc(-c2c(C)nc(Nc3ccc(C)c(C(F)(F)F)c3)n2Cc2ccccc2)cc1,1,43.5
NC(N)=NC(N)=Nc1ccc(-c2nncs2)cc1,1,26.43
O=C(Nc1c(-c2ccccc2)nc2ccccn2c1=O)c1ccc(-c2ccccc2)cc1,1,28.44
CCCCCn1c(C)nc2c1nnc1c(-c3ccc(OCCC)cc3)cc(-c3ccccc3)c(=O)n12,1,42.51
O=S(=O)(c1ccc(Cl)cc1)C12CCCC(C1)NC2,1,30.92
O=C(NN=Cc1ccc2c(c1)OCO2)C1Cc2ccccc2N1,1,30.61
CC(=O)NNC(=O)c1ccc2c(c1)NC(=O)C(C)S2,1,28.85
Nc1cccc2c(CCN3CCCCC3)c3n(c12)COCC3,1,40.53
O=C([O-])c1cc[n+](C=Cc2ccc(O)cc2)cc1,1,32.54
Cc1ccccc1-n1c(C)cc(C=NNC(=O)c2ccc3[nH]ccc3c2)c1C,1,33.88
O=C(C1CC2CCC1N2)N1CCN(c2ccc([N+](=O)[O-])nc2)CC1,1,35.66
CCCc1cc(C(=O)Oc2c(Cl)cc(Cl)c(Cl)c2Cl)cs1,1,33.88
C=CCOC1CC(CS(=O)(=O)OC(C)C)CC1=O,1,43.74
