canonical_smiles,MW,cLogP,HBD,HBA,TPSA,QED,SA_score,scaffold,nearest_active_sim,has_hydroxyl,has_amine,has_carbonyl,has_amide,has_halogen_F,has_halogen_Cl,has_halogen_Br,has_aromatic_ring,has_piperidine,has_piperazine,has_morpholine
O=C(Nc1cccc(N2CCNC2=O)c1)C1CCC(F)(F)C1,309.316,2.5901000000000014,2,2,61.440000000000005,0.9013062962940173,2.969800621654503,O=C(Nc1cccc(N2CCNC2=O)c1)C1CCCC1,0.3235294117647059,False,False,True,True,True,False,False,True,False,False,False
Cc1ccc(NC(=O)CN2CCN(C(=O)CN(C)C3CCNCC3)CC2)cc1,387.5280000000002,0.7615200000000015,2,5,67.92,0.7544830757755229,2.2057386985088154,O=C(CN1CCN(C(=O)CNC2CCNCC2)CC1)Nc1ccccc1,0.28205128205128205,False,True,True,True,False,False,False,True,True,True,False
Cc1cc(C(=O)NCC(Cc2ccccc2)N(C)C)c2cc[nH]c2n1,336.439,2.774020000000001,2,3,61.02,0.7275397125327315,2.792633397020161,O=C(NCCCc1ccccc1)c1ccnc2[nH]ccc12,0.26373626373626374,False,False,True,True,False,False,False,True,False,False,False
CC(C)(C)OC(=O)N1CC(CNC(=O)C2(Cc3ccc(O)cc3)N=C(c3ccc(-c4ccccc4)cc3)OC2=O)C1,555.6310000000001,4.327200000000003,2,7,117.53,0.33117476916863586,3.400094776439661,O=C(NCC1CNC1)C1(Cc2ccccc2)N=C(c2ccc(-c3ccccc3)cc2)OC1=O,0.2413793103448276,True,False,True,True,False,False,False,True,False,False,False
O=C(O)C1=C(S(=O)(=O)O)C2CC(O1)N2S(=O)(=O)O,301.254,-1.596199999999999,3,6,158.51,0.5217404486319289,5.117280305282485,C1=CC2CC(N2)O1,0.14285714285714285,True,False,True,False,False,False,False,False,False,False,False
CC(C)(C)C1CCc2ncn3ncc(C(=O)OCc4cc5ccc(O)cc5oc4=O)c3c2C1,447.49100000000027,4.049300000000002,1,7,106.93,0.3728891193477194,3.5594706671859653,O=C(OCc1cc2ccccc2oc1=O)c1cnn2cnc3c(c12)CCCC3,0.21568627450980393,True,False,True,False,False,False,False,True,False,False,False
CCC(Oc1cc([N+](=O)[O-])ccc1Cl)C(N)=O,258.661,1.8908999999999998,1,4,95.46000000000001,0.6442526392685414,2.638058883529146,c1ccccc1,0.2602739726027397,False,False,True,True,False,True,False,True,False,False,False
Nc1ncnc2nc(C3CCN(C(=O)CCC4(C5CC5)NC(=O)NC4=O)C3)[nH]c12,398.4270000000001,0.019400000000001083,4,7,158.98999999999998,0.5165983512844796,3.8535142385627097,O=C1NC(=O)C(CCC(=O)N2CCC(c3nc4ncncc4[nH]3)C2)(C2CC2)N1,0.21505376344086022,False,True,True,True,False,False,False,True,False,False,False
COCCCN1C(=O)C(=O)C(=C(O)c2cc(C)c(OC)c(C)c2)C1c1ccccc1OC,439.5080000000002,3.7788400000000024,1,6,85.30000000000001,0.29164981662250455,2.7947417363922185,O=C1NC(c2ccccc2)C(=Cc2ccccc2)C1=O,0.25842696629213485,True,False,True,True,False,False,False,True,False,False,False
Clc1ccc(C=NN=c2oc3cc(CNC4CC4)cc(Cl)c3o2)cc1Cl,410.6880000000001,5.172800000000002,1,5,63.03,0.4658639632774554,3.117513273247445,C(=NN=c1oc2ccc(CNC3CC3)cc2o1)c1ccccc1,0.22972972972972974,False,True,False,False,False,True,False,True,False,False,False
