SMILES,SMILES_state,NLL,canonical_smiles,MW,cLogP,HBD,HBA,TPSA,QED,SA_score,scaffold,has_hydroxyl,has_amine,has_carbonyl,has_amide,has_halogen_F,has_halogen_Cl,has_halogen_Br,has_aromatic_ring,has_piperidine,has_piperazine,has_morpholine,fingerprint,nearest_active_sim,nearest_active_idx,cluster_morgan,cluster_avalon,cluster_maccs,top_functional_group
Oc1c(Cl)cc(Cl)cc1Cl,1,18.19,Oc1c(Cl)cc(Cl)cc1Cl,197.44799999999998,3.3523999999999994,1,1,20.23,0.6761278584580761,1.8489788341311346,c1ccccc1,True,False,False,False,False,True,False,True,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ec5e4db07b0>,0.6190476190476191,3273,3283,416,24,halogen
Brc1ccc(Nc2ncnc3c2cnn3-c2ccccc2)c(Br)c1,1,28.13,Brc1ccc(Nc2ncnc3c2cnn3-c2ccccc2)c(Br)c1,445.11800000000005,5.084100000000002,1,4,55.63,0.4780382110540927,2.197780056737269,c1ccc(Nc2ncnc3c2cnn3-c2ccccc2)cc1,False,True,False,False,False,False,True,True,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ec5e4dad620>,0.55,753,123,39,0,NH0
CCCCOC(=O)c1ccc(NC(=O)C(Cl)(Cl)Cl)cc1,1,23.02,CCCCOC(=O)c1ccc(NC(=O)C(Cl)(Cl)Cl)cc1,338.61799999999994,3.952200000000002,1,3,55.4,0.5022245858269254,2.0090004107760535,c1ccccc1,False,False,True,True,False,True,False,True,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ec5e4dac270>,0.5272727272727272,3204,6,1275,7,halogen
CCOc1ccc(NS(=O)(=O)c2ccc(C(=O)Nc3cc(C(=O)OC)ccc3C)cc2)cc1,1,30.37,CCOc1ccc(NS(=O)(=O)c2ccc(C(=O)Nc3cc(C(=O)OC)ccc3C)cc2)cc1,468.5310000000002,4.233420000000003,2,6,110.8,0.47875533277255583,1.9358330186422652,O=C(Nc1ccccc1)c1ccc(S(=O)(=O)Nc2ccccc2)cc1,False,True,True,True,False,False,False,True,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ec5e4da1e70>,0.5230769230769231,2126,151,4,0,benzene
Cc1cccc(-n2ncc3c(Nc4cccc(N)c4Cl)ncnc32)c1,1,33.04,Cc1cccc(-n2ncc3c(Nc4cccc(N)c4Cl)ncnc32)c1,350.81300000000005,4.1031200000000005,2,5,81.65,0.5434138045406209,2.388957005407411,c1ccc(Nc2ncnc3c2cnn3-c2ccccc2)cc1,False,True,False,False,False,True,False,True,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ec5e4c06730>,0.515625,753,123,87,0,NH0
CC(=O)c1c[nH]c(C(=O)OCC(=O)NCc2ccco2)c1,1,25.24,CC(=O)c1c[nH]c(C(=O)OCC(=O)NCc2ccco2)c1,290.275,1.2834999999999996,2,5,101.39999999999999,0.6161854865503904,2.2694157195195217,O=C(COC(=O)c1ccc[nH]1)NCc1ccco1,False,False,True,True,False,False,False,False,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ec5e4bec3c0>,0.5081967213114754,3098,1535,15,0,C_O
O=C(Nc1cccc(NCC2CCCCC2)c1)c1cccs1,1,27.07,O=C(Nc1cccc(NCC2CCCCC2)c1)c1cccs1,314.4539999999999,4.992600000000004,2,3,41.13,0.815770425461,1.9468951915062842,O=C(Nc1cccc(NCC2CCCCC2)c1)c1cccs1,False,True,True,True,False,False,False,True,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ec5e4bc12a0>,0.5,2955,2882,7,0,NH1
NNC(=O)c1ccc2c(c1)OCCO2,1,21.86,NNC(=O)c1ccc2c(c1)OCCO2,194.18999999999994,0.06129999999999969,2,4,73.58,0.37645301260689984,1.9487217395382928,c1ccc2c(c1)OCCO2,False,True,True,True,False,False,False,True,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ec5e4d943c0>,0.48936170212765956,2209,71,134,0,ether
COc1cc2cc[nH]c2cc1C(=O)N1CC2CCC(O)(c3ccccc3)C2C1,1,42.27,COc1cc2cc[nH]c2cc1C(=O)N1CC2CCC(O)(c3ccccc3)C2C1,376.456,3.5463000000000022,2,3,65.56,0.7347413138148804,3.527234199321893,O=C(c1ccc2cc[nH]c2c1)N1CC2CCC(c3ccccc3)C2C1,True,False,True,True,False,False,False,True,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ec5e4bca730>,0.4857142857142857,3810,2598,3,0,bicyclic
O=Cc1ccccc1-c1ccc(C(=O)Nc2nncs2)cc1,1,31.56,O=Cc1ccccc1-c1ccc(C(=O)Nc2nncs2)cc1,309.35,3.2699000000000007,1,5,71.95,0.7507680568972367,2.1151820110329105,O=C(Nc1nncs1)c1ccc(-c2ccccc2)cc1,False,False,True,True,False,False,False,True,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7ec5e4c0a9d0>,0.4838709677419355,2741,600,13,0,C_O
