SMILES,SMILES_state,NLL
O=C(Nc1cccc(N2CCNC2=O)c1)C1CCC(F)(F)C1,1,31.84
Cc1ccc(NC(=O)CN2CCN(C(=O)CN(C)C3CCNCC3)CC2)cc1,1,29.79
Cc1cc(C(=O)NCC(Cc2ccccc2)N(C)C)c2cc[nH]c2n1,1,29.46
CC(C)(C)OC(=O)N1CC(CNC(=O)C2(Cc3ccc(O)cc3)N=C(c3ccc(-c4ccccc4)cc3)OC2=O)C1,1,42.95
O=C(O)C1=C(S(=O)(=O)O)C2CC(O1)N2S(=O)(=O)O,1,42.05
CC(C)(C)C1CCc2ncn3ncc(C(=O)OCc4cc5ccc(O)cc5oc4=O)c3c2C1,1,48.92
CCC(Oc1cc([N+](=O)[O-])ccc1Cl)C(N)=O,1,27.84
Nc1ncnc2nc(C3CCN(C(=O)CCC4(C5CC5)NC(=O)NC4=O)C3)[nH]c12,1,43.97
COCCCN1C(=O)C(=O)C(=C(O)c2cc(C)c(OC)c(C)c2)C1c1ccccc1OC,1,30.43
Clc1ccc(C=NN=c2oc3cc(CNC4CC4)cc(Cl)c3o2)cc1Cl,1,44.23
CCCCCC(OC=O)SC(=O)OCC,1,32.92
Oc1ccc2ccccc2c1CNc1cccc(Nc2ccccc2)c1,1,30.29
Nc1c(Cl)ncc(S)c1C(F)F,1,25.44
COc1cccc(C(O)CN2c3ccc4c5c(oc4c3OCC2C)CCCC5)c1,1,49.71
NCC1CCN(C2CCSCC2)CC1C(F)(F)F,1,26.4
COC(=O)CCN(Cc1cccc(Cl)c1)C(=O)c1cc(Cl)ccc1Cl,1,30.94
CCCCCC=CCC=CCCCCCCCCCCCCCC(=O)NCCOP(=O)(O)OCC(O)COP(=O)(O)OCC(O)COC(=O)CCCCCCCCCCCC=CCC=CCCCCCCC,1,38.29
CC(=O)NCCC(=O)N1CCC(C(C)(C)C)C1,1,25.55
CC1CCN2CC(c3cncc4ccccc34)NC12,1,36.49
O=C(O)CCc1cc(Sc2ccccc2)ccc1[N+](=O)[O-],1,30.13
COc1ccccc1N1COc2oc3ccc(C)cc3c(=O)c2C1,1,33.32
NC(c1cccc(O)c1)C1CCCN1S(=O)(=O)c1ccccc1,1,33.9
CC(=O)NCCNC(=O)c1cccc(-c2cnc(N3CCCCCC3)nc2)c1,1,32.99
Cc1cc(Br)cc(C(=O)Nc2nc3c(s2)CCCC3)c1N,1,29.19
CCS(=O)(=O)c1ccccc1CNCC(F)CNC(=O)c1ccn(C)n1,1,45.83
[B]c1ccc2c(c1)NCC2CN(C)C,1,32.2
CN(C)CCN1CC2(CCN(Cc3ccc(CCN4CCCCC4=O)cc3)CC2)C1,1,42.14
O=C(c1cccc(Cl)c1)N1CC2CC(C1)c1cccc(=O)n1C2,1,28.38
CNS(=O)(=O)c1ccccc1NC(=O)N1CCCC(CN2CCOCC2)C1,1,32.17
CCCn1c(CNCCCN(CC)CC)nc2ccccc21,1,26.3
COc1ccc(C2CS2)cc1,1,24.56
CCc1ccccc1OC(C)C(=O)NC(C(=O)O)C(C)C,1,29.33
CSCC(C)N(C)C(=O)C(C)N,1,25.36
CCSCCCC(=O)NC1CCN(C)CC1,1,27.21
C=CC(=O)OCCOC(C)(C)C(C(C(=O)OCC)=P(OCC)(c1ccccc1)c1ccccc1)c1ccc(C(C)(C)C)cc1,1,56.31
CN(C)S(=O)(=O)N(CCO)Cc1ccccc1F,1,25.39
O=S(=O)(CCCCl)c1ccc2c(c1)OCCO2,1,24.31
CC(CC(N)=O)NS(=O)(=O)c1ccsc1CCN,1,27.09
CNC(=O)c1c(NC(=O)CCN(c2ccc(F)c(F)c2)S(C)(=O)=O)sc(C)c1C,1,38.09
CCOc1cc(C=NNC(=O)CSc2c(O)c(-c3ccccc3)nn2-c2ccccc2)ccc1O,1,39.1
C=CC(=CC)c1ccc(-c2cccc3c2OC2=C4C3=CC=C3C(=C4C=Cc4c2n(-c2ccccc2)c2ccccc42)C(C)=CC(C)(C)N3C)cc1,1,66.1
CC1CC2=CC3(O)C(O2)C(C)C2C(C13)C1(C)CCC(O)CC23CC1O3,1,72.21
CCCCN=c1scc(C)n1N=C(C)C,1,26.03
CCOC(=O)c1c(NC(=O)C(C)OC(=O)COc2ccccc2Cl)sc2c1CCC2,1,31.82
CCC1(C2(O)CCN(c3cc(C(F)(F)F)ccn3)CC2)CC1,1,34.46
CCSC1N=C2N(CO)CCCN2N1,1,38.62
Cc1ccccc1CCCC(=O)c1ccccn1,1,26.19
O=C(O)CCCc1c(O)cc(Br)c2ccccc12,1,28.86
NCCC(=O)C(c1ccccc1)[N+](=O)[O-],1,29.54
Oc1ccc2c(ccn2C(c2ccccc2)c2ccccc2)c1,1,27.92
CN1CCC(CNC(=O)c2cnsn2)C1,1,27.3
O=S(=O)(Oc1ccc2c(c1)C1CCC2O1)C(F)(F)F,1,28.09
O=C(NCC(Cl)Cl)C(=O)NC1CCSC1,1,40.37
