canonical_smiles,MW,cLogP,HBD,HBA,TPSA,QED,SA_score,scaffold,has_hydroxyl,has_amine,has_carbonyl,has_amide,has_halogen_F,has_halogen_Cl,has_halogen_Br,has_aromatic_ring,has_piperidine,has_piperazine,has_morpholine
O=[N+]([O-])c1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,333.31100000000004,2.8381000000000007,1,7,111.14,0.45124866345835496,2.5621894869669486,c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,False,True,False,False,False,False,False,True,False,False,False
NS(=O)(=O)c1ccc(Nc2cc(-c3ccc([N+](=O)[O-])cc3)[nH]n2)cc1,359.367,2.3759000000000006,3,6,144.01,0.4710153883929621,2.2205936537590603,c1ccc(Nc2cc(-c3ccccc3)[nH]n2)cc1,False,True,False,False,False,False,False,True,False,False,False
Nc1ccc(-c2cc(Nc3ccc(S(N)(=O)=O)cc3)[nH]n2)cc1,329.385,2.0499,4,5,126.88999999999997,0.5447916495594595,2.3268353942756086,c1ccc(Nc2cc(-c3ccccc3)n[nH]2)cc1,False,True,False,False,False,False,False,True,False,False,False
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,466.5410000000003,4.354000000000003,2,4,69.45,0.4058424794083466,4.953655653774268,O=C1NCc2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CCC[C@H]3O1,False,True,True,True,False,False,False,True,False,False,False
CC(=O)NC1CN(c2ccc(Nc3ncc(F)c(-c4cnc(C)n4C(C)C)n3)cc2)C1,423.4960000000002,3.4368200000000018,2,6,87.97000000000001,0.6315804358141601,2.7563201615630426,c1cc(-c2cnc[nH]2)nc(Nc2ccc(N3CCC3)cc2)n1,False,True,True,True,True,False,False,True,False,False,False
O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)NCCOCCO)cc1,460.53700000000026,1.9886000000000004,4,8,129.65,0.28380357070030204,2.827774057967135,O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccccc1,True,True,True,True,False,False,False,True,False,False,False
CC[C@@H](C)Oc1nc(Nc2ccc(S(N)(=O)=O)cc2)nc(N)c1C=O,365.41500000000013,1.4396000000000002,3,8,150.29,0.623581136468043,3.1131074745168146,c1ccc(Nc2ncccn2)cc1,False,True,True,False,False,False,False,True,False,False,False
O=C1NCC2(CCCCC2)n2c1cc1cnc(Nc3ccc(N4CCC(N5CCOCC5)CC4)cn3)nc12,516.6500000000004,3.2737000000000016,2,8,100.44000000000001,0.5451342341783468,3.6704664033609813,O=C1NCC2(CCCCC2)n2c1cc1cnc(Nc3ccc(N4CCC(N5CCOCC5)CC4)cn3)nc12,False,True,True,True,False,False,False,True,True,False,True
Cc1ncc(-c2nc(Nc3ccc(C(=O)NC4CCN(C)CC4)c(F)c3)ncc2F)n1C(C)C,469.5400000000002,4.075220000000003,2,6,87.97,0.5658536505803158,2.7801878940424505,O=C(NC1CCNCC1)c1ccc(Nc2nccc(-c3cnc[nH]3)n2)cc1,False,True,True,True,True,False,False,True,True,False,False
CN1CCN(c2cccc(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)c2)CC1,418.5050000000003,1.5699999999999996,2,7,105.19999999999999,0.6625200810088372,2.684334127111473,c1cc(Nc2ncc3c(n2)-c2[nH]ncc2CC3)cc(N2CCNCC2)c1,False,True,True,True,False,False,False,True,False,True,False
COCCOCCOCCOCCN(C)S(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccc4ncsc4c32)cc1,576.6970000000001,3.0181000000000013,2,10,128.32,0.19533551420579584,3.0599231441372314,O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccccc1,False,True,True,True,False,False,False,True,False,False,False
NS(=O)(=O)c1ccc(Nc2nccc(-c3cnc4ccccn34)n2)cc1,366.40600000000006,2.1822999999999997,2,6,115.27,0.5719011043903953,2.365150720232892,c1ccc(Nc2nccc(-c3cnc4ccccn34)n2)cc1,False,True,False,False,False,False,False,True,False,False,False
Cc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@@H]3CCO)nc12,382.4680000000003,2.0245200000000003,2,6,92.63,0.5005436909062704,3.5087020685734744,c1c[nH+]cc(CNc2cc(N3CCCCC3)nc3ccnn23)c1,True,True,False,False,False,False,False,True,True,False,False
COCCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc(C)n3C(C)C)n2)cc1,430.53400000000016,2.8977200000000005,2,7,111.02999999999999,0.5021777703664401,2.56479546130962,c1ccc(Nc2nccc(-c3cnc[nH]3)n2)cc1,False,True,False,False,False,False,False,True,False,False,False
CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@@H]3CCO)nc12,396.4950000000003,2.2785000000000006,2,6,92.63,0.4701697526686685,3.5147624979350898,c1c[nH+]cc(CNc2cc(N3CCCCC3)nc3ccnn23)c1,True,True,False,False,False,False,False,True,True,False,False
CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12,396.4950000000003,2.2785000000000006,2,6,92.63,0.4701697526686685,3.5147624979350898,c1c[nH+]cc(CNc2cc(N3CCCCC3)nc3ccnn23)c1,True,True,False,False,False,False,False,True,True,False,False
CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(C3CCCC[C@H]3CCO)nc12,395.5070000000003,3.193400000000002,2,5,89.39,0.47366330392107014,3.8596663291550435,c1c[nH+]cc(CNc2cc(C3CCCCC3)nc3ccnn23)c1,True,True,False,False,False,False,False,True,False,False,False
NCCCn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3)ncc1CC2,363.4250000000001,1.6299999999999992,3,6,124.74000000000001,0.6111916337718877,2.61890525177885,c1ccc(Nc2ncc3c(n2)-c2[nH]ncc2CC3)cc1,False,True,True,True,False,False,False,True,False,False,False
CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnn4c3CC(C)(C)C4)c(Cl)cn2)C1,429.9520000000003,3.8142000000000023,2,4,88.91000000000001,0.7727893378110231,3.7538007150972845,O=C(Nc1cc(-c2cnn3c2CCC3)ccn1)C1CCCCC1,False,False,True,True,False,True,False,True,False,False,False
O=C1NCC2(CCCCC2)n2c1cc1cnc(Nc3ccc(N4CCNCC4)cn3)nc12,432.53200000000027,2.3823,3,7,100.0,0.5842845755931495,3.5979673234367535,O=C1NCC2(CCCCC2)n2c1cc1cnc(Nc3ccc(N4CCNCC4)cn3)nc12,False,True,True,True,False,False,False,True,False,True,False
Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nc(OCC2CCCCC2)c1N=O,406.4680000000003,2.8068,3,9,162.64999999999998,0.5908643977358338,2.694477651770745,c1ccc(Nc2nccc(OCC3CCCCC3)n2)cc1,False,True,False,False,False,False,False,True,False,False,False
COCc1cc(C(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)NC(C)C)C3)[nH]n2)n(C)n1,404.47100000000006,2.3125999999999998,3,6,123.15999999999998,0.6506771406942764,3.6358977699364843,O=C(Nc1cc(C2CCCC2)[nH]n1)c1ccn[nH]1,False,False,True,True,False,False,False,False,False,False,False
CC(C)Cc1cccc2c1/C(=N/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,372.4500000000001,2.3007999999999997,3,5,113.64999999999998,0.6988053432306995,2.5807333356175075,O=C1Nc2ccccc2/C1=N/Nc1ccccc1,False,True,True,True,False,False,False,True,False,False,False
CC(C)=Cc1cccc2c1/C(=N/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,370.4340000000001,2.525499999999999,3,5,113.64999999999998,0.717603536252837,2.722085258694431,O=C1Nc2ccccc2/C1=N/Nc1ccccc1,False,True,True,True,False,False,False,True,False,False,False
NS(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccc4ncccc4c32)cc1,366.4020000000001,2.2873,3,5,114.17999999999999,0.6154518929235094,2.4012236682578383,O=C1Nc2ccc3ncccc3c2/C1=C/Nc1ccccc1,False,True,True,True,False,False,False,True,False,False,False
NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc4ncccc4c32)cc1,367.3900000000001,1.6504999999999999,3,6,126.54,0.6067983099278363,2.516479801313972,O=C1Nc2ccc3ncccc3c2/C1=N/Nc1ccccc1,False,True,True,True,False,False,False,True,False,False,False
COc1cccc(OC)c1CNC(=O)c1ccc2c(c1)/C(=N/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,509.5440000000002,2.0494999999999997,4,8,161.20999999999998,0.33793665698669445,2.624919790346775,O=C1Nc2ccc(C(=O)NCc3ccccc3)cc2/C1=N/Nc1ccccc1,False,True,True,True,False,False,False,True,False,False,False
CC(C)CC(=O)c1ccc2c(c1)/C(=C/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,399.4720000000001,2.9678999999999993,3,5,118.35999999999999,0.5096911095150761,2.4284103418654617,O=C1Nc2ccccc2/C1=C/Nc1ccccc1,False,True,True,True,False,False,False,True,False,False,False
Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,394.36300000000006,1.217999999999999,3,7,145.98999999999998,0.6027885397158542,2.4521554836675428,O=C(c1ccccc1)n1cnc(Nc2ccccc2)n1,False,True,True,False,True,False,False,True,False,False,False
Cc1ncc(-c2ccnc(Nc3ccc(C(=O)NCCO)cc3)n2)n1C(C)C,380.4520000000001,2.69512,3,6,104.96000000000001,0.5820293655849209,2.4553195212936263,c1ccc(Nc2nccc(-c3cnc[nH]3)n2)cc1,True,True,True,True,False,False,False,True,False,False,False
Cc1ncc(-c2nc(Nc3ccc(C(=O)N(C)C)c(F)c3)ncc2F)n1C(C)C,400.4330000000001,3.953020000000003,1,5,75.94,0.7017913631220895,2.7065572292135336,c1ccc(Nc2nccc(-c3cnc[nH]3)n2)cc1,False,True,True,True,True,False,False,True,False,False,False
