"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL280074";"OLOMOUCINE";"None";"298.35";"0";"1.38";"5";"Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21";"IC50";"'='";"1200.0";"nM";"5.92";"";"";"UO_0000065";"19.85";"0.37";"4.54";"6.74";"0";"CHEMBL661130";"Inhibition of Cyclin-dependent kinase 2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133758";"1";"Scientific Literature";"J Med Chem";"2000";"None";"";"";"";"1.2"
"CHEMBL260231";"";"None";"363.24";"0";"3.80";"70";"O=C(Nc1n[nH]c2nc(-c3cccs3)c(Br)cc12)C1CC1";"IC50";"'='";"639.0";"nM";"6.19";"";"";"UO_0000065";"17.05";"0.40";"2.39";"8.77";"1";"CHEMBL997786";"Inhibition of CDK2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156672";"1";"Scientific Literature";"Eur J Med Chem";"2008";"None";"";"";"";"639.0"
"CHEMBL421207";"";"None";"267.29";"0";"3.17";"66";"O=C(Nc1n[nH]c2cc(-c3ccco3)ccc12)C1CC1";"IC50";"'='";"631.0";"nM";"6.20";"";"";"UO_0000065";"23.20";"0.42";"3.03";"8.74";"1";"CHEMBL997786";"Inhibition of CDK2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156672";"1";"Scientific Literature";"Eur J Med Chem";"2008";"None";"";"";"";"631.0"
"CHEMBL496754";"";"None";"423.52";"0";"3.24";"13";"O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)NC1CCCCC1";"IC50";"'='";"1200.0";"nM";"5.92";"";"";"UO_0000065";"13.98";"0.26";"2.68";"5.34";"0";"CHEMBL1009883";"Inhibition of CDK2/Cyclin A";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139387";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";"1.2"
"CHEMBL2112297";"";"None";"500.59";"1";"4.07";"95";"O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)N[n+]2ccc3ccccc3c2)cc1";"IC50";"'='";"9.5";"nM";"8.02";"";"";"UO_0000065";"16.03";"0.31";"3.95";"7.71";"0";"CHEMBL661125";"Inhibitory activity against human cyclin-dependent kinase 2 (CDK2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134300";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"9.5"
"CHEMBL1234087";"";"None";"393.42";"0";"3.18";"109";"O=C1Nc2ccc(-c3cnco3)cc2/C1=C/Nc1ccc2c(c1)CS(=O)(=O)C2";"IC50";"'='";"8.9";"nM";"8.05";"";"";"UO_0000065";"20.46";"0.39";"4.87";"7.95";"0";"CHEMBL661125";"Inhibitory activity against human cyclin-dependent kinase 2 (CDK2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134300";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"8.9"
"CHEMBL496162";"";"None";"444.54";"0";"3.47";"40";"CC(C)Oc1ccc2c(-c3ccnc(Nc4ccc(N5CCN(C)CC5)cc4)n3)cnn2n1";"IC50";"'='";"230.0";"nM";"6.64";"";"";"UO_0000065";"14.93";"0.27";"3.17";"7.93";"0";"CHEMBL1002021";"Inhibition of human CDK2 by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143431";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"0.23"
"CHEMBL505474";"";"None";"366.56";"0";"4.40";"7";"CC(C)(C)c1cnc(CSc2cnc(NC3CCCC(N)C3)s2)o1";"IC50";"'='";"158.0";"nM";"6.80";"";"";"UO_0000065";"18.55";"0.39";"2.40";"8.84";"0";"CHEMBL1002041";"Inhibition of CDK2/cyclin A by IMAP florescence polarization assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143434";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"0.158"
"CHEMBL507536";"";"None";"269.39";"0";"3.30";"11";"CC(C)(C)c1cnc(CSc2cnc(N)s2)o1";"IC50";"'='";"690.0";"nM";"6.16";"";"";"UO_0000065";"22.87";"0.49";"2.86";"9.49";"0";"CHEMBL1002041";"Inhibition of CDK2/cyclin A by IMAP florescence polarization assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143434";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"0.69"
"CHEMBL293068";"";"None";"324.29";"0";"1.92";"15f";"O=C1Nc2ccc(C(=O)O)cc2/C1=C/c1[nH]cc2c1CCOC2=O";"IC50";"'='";"4.0";"nM";"8.40";"";"";"UO_0000065";"25.90";"0.48";"6.48";"7.74";"0";"CHEMBL660704";"Inhibitory activity against Cyclin-dependent kinase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136528";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";"";"0.004"
