canonical_smiles,MW,cLogP,HBD,HBA,TPSA,QED,SA_score,scaffold,has_hydroxyl,has_amine,has_carbonyl,has_amide,has_halogen_F,has_halogen_Cl,has_halogen_Br,has_aromatic_ring,has_piperidine,has_piperazine,has_morpholine
C[C@H]1CCCCN1c1nnc2ccc(O[C@@H]3CC[C@H](NC(=O)Nc4cc(C(C)(C)C)nn4-c4cncc(OCCN(C)C)c4)c4ccccc43)cn12,706.8959999999998,6.703400000000007,2,9,126.96999999999998,0.1631173239151625,4.432782064877829,O=C(Nc1ccnn1-c1cccnc1)N[C@H]1CC[C@@H](Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,False,False,True,True,False,False,False,True,True,False,False
Cc1ccc(C(=O)Nc2ccon2)cc1-c1ccc2c(c1)NC(=O)C2(C)C,361.4010000000001,4.1320200000000025,2,4,84.22999999999999,0.7344702377967348,2.557592763457455,O=C1Cc2ccc(-c3cccc(C(=O)Nc4ccon4)c3)cc2N1,False,False,True,True,False,False,False,True,False,False,False
CC(C)c1nnc2ccc(O[C@@H]3CC[C@H](NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(Cl)c(O)c4)c4ccccc43)cn12,614.1500000000001,7.471600000000008,3,6,118.60000000000001,0.18273660429103936,3.9186363904317094,O=C(Nc1ccnn1-c1ccccc1)N[C@H]1CC[C@@H](Oc2ccc3nncn3c2)c2ccccc21,True,False,True,True,False,True,False,True,False,False,False
C[C@@H]1CCC[C@H](C)N1c1nnc2ccc(O[C@@H]3CC[C@H](NC(=O)Nc4cc(C(C)(C)C)nn4-c4cnn(CCN(C)C)c4)c4ccccc43)cn12,693.901,6.514600000000007,2,8,122.66999999999997,0.17917805094348715,4.675107753970939,O=C(Nc1ccnn1-c1cn[nH]c1)N[C@H]1CC[C@@H](Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,False,False,True,True,False,False,False,True,True,False,False
CC(C)c1nnc2ccc(O[C@@H]3CC[C@H](NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccccc4)c4ccccc43)cn12,563.7060000000001,7.112600000000007,2,5,98.37,0.2293639008833108,3.722470241931557,O=C(Nc1ccnn1-c1ccccc1)N[C@H]1CC[C@@H](Oc2ccc3nncn3c2)c2ccccc21,False,False,True,True,False,False,False,True,False,False,False
Cc1ccc2c(NC3CC3)noc2c1-c1ccc2c(c1)NC(=O)C21CCC(F)(F)CC1,423.4630000000002,5.776720000000004,2,4,67.16,0.5606805038055153,3.61544890738889,O=C1Nc2cc(-c3cccc4c(NC5CC5)noc34)ccc2C12CCCCC2,False,True,True,True,True,False,False,True,False,False,False
CC(C)c1nnc2ccc(O[C@@H]3CC[C@H](NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(O)c(Cl)c4)c4ccccc43)cn12,614.1500000000001,7.4716000000000085,3,6,118.60000000000001,0.18273660429103936,3.8960526435334444,O=C(Nc1ccnn1-c1ccccc1)N[C@H]1CC[C@@H](Oc2ccc3nncn3c2)c2ccccc21,True,False,True,True,False,True,False,True,False,False,False
C[C@H]1CCCCN1c1nnc2ccc(O[C@@H]3CC[C@H](NC(=O)Nc4cc(C(C)(C)C)nn4-c4cnn(CCN(C)C)c4)c4ccccc43)cn12,679.874,6.126100000000006,2,8,122.66999999999997,0.1910206967238961,4.4463370209879916,O=C(Nc1ccnn1-c1cn[nH]c1)N[C@H]1CC[C@@H](Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,False,False,True,True,False,False,False,True,True,False,False
O=C1NCc2c(-c3ccc(F)cc3Cl)cc(C3CCNCC3)cc2N1c1c(Cl)cccc1Cl,504.8200000000003,7.281200000000004,2,2,44.370000000000005,0.3934912891963039,2.87516019433429,O=C1NCc2c(-c3ccccc3)cc(C3CCNCC3)cc2N1c1ccccc1,False,True,True,True,True,True,False,True,True,False,False
O=C1NCc2c(-c3ccc(F)cc3Cl)cc(OC3CCNCC3)cc2N1c1c(Cl)cccc1Cl,520.8190000000003,6.945000000000004,2,3,53.6,0.39151522466868377,2.888281488933723,O=C1NCc2c(-c3ccccc3)cc(OC3CCNCC3)cc2N1c1ccccc1,False,True,True,True,True,True,False,True,True,False,False
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)N[C@H]2CC[C@@H](Oc3ccc4nnc(C5CCCC5)n4c3)c3ccccc32)cc1,603.7710000000004,7.955220000000008,2,5,98.37,0.2052254766524383,3.798502769983905,O=C(Nc1ccnn1-c1ccccc1)N[C@H]1CC[C@@H](Oc2ccc3nnc(C4CCCC4)n3c2)c2ccccc21,False,False,True,True,False,False,False,True,False,False,False
CNC(=O)c1ccc2c(c1)C(=O)c1ccc(Nc3cc(NC(=O)c4cccc(F)c4)c(F)cc3F)cc1CC2,529.518,5.789000000000004,3,4,87.30000000000001,0.3055714882508426,2.556618531250118,O=C(Nc1cccc(Nc2ccc3c(c2)CCc2ccccc2C3=O)c1)c1ccccc1,False,True,True,True,True,False,False,True,False,False,False
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)N[C@H]2CC[C@H](Oc3ccc4nnc(C(C)C)n4c3)c3ccccc32)cc1,577.7330000000004,7.421020000000007,2,5,98.37,0.2188229631059149,3.7623439069031495,O=C(Nc1ccnn1-c1ccccc1)N[C@H]1CC[C@H](Oc2ccc3nncn3c2)c2ccccc21,False,False,True,True,False,False,False,True,False,False,False
O=C1NCc2c(-c3ccccc3Cl)cc(CN3CCNCC3)cc2N1c1c(Cl)cccc1Cl,501.84500000000025,6.080300000000005,2,3,47.61000000000001,0.45534383775310155,2.7329271992442727,O=C1NCc2c(-c3ccccc3)cc(CN3CCNCC3)cc2N1c1ccccc1,False,True,True,True,False,True,False,True,False,True,False
C[C@H](Nc1cc(-c2c(-c3cccc(C(F)(F)F)c3)nc(C3CCNCC3)n2C)ccn1)c1ccccc1,505.58800000000025,6.808000000000006,2,4,54.77,0.3023678726682035,3.191903934261843,c1ccc(CNc2cc(-c3[nH]c(C4CCNCC4)nc3-c3ccccc3)ccn2)cc1,False,True,False,False,True,False,False,True,True,False,False
CC(C)(C)N1CCC(c2cc(-c3ccccc3Cl)c3ccc(=O)n(-c4c(Cl)cccc4Cl)c3c2)CC1,539.9340000000002,8.595800000000002,0,2,25.240000000000002,0.2603448742915351,2.7313377644518777,O=c1ccc2c(-c3ccccc3)cc(C3CCNCC3)cc2n1-c1ccccc1,False,False,False,False,False,True,False,True,True,False,False
CC(C)(N)C(=O)NCCOc1cc(-c2ccccc2Cl)c2ccc(=O)n(-c3c(Cl)cccc3Cl)c2c1,544.8660000000002,5.8502000000000045,2,4,86.35000000000002,0.28581963857620774,2.6714772633094555,O=c1ccc2c(-c3ccccc3)cccc2n1-c1ccccc1,False,True,True,True,False,True,False,True,False,False,False
[O-][n+]1ccc2c(-c3ccccc3Cl)cc(NC3CCNCC3)nc2c1-c1c(Cl)cccc1Cl,499.8290000000003,6.326300000000004,2,4,63.89,0.2544464765238511,2.962185984669375,c1ccc(-c2cc(NC3CCNCC3)nc3c(-c4ccccc4)[nH+]ccc23)cc1,False,True,False,False,False,True,False,True,True,False,False
O=C1NCc2c(-c3ccc(F)cc3Cl)cc(CN3CCNCC3)cc2N1c1c(Cl)cccc1Cl,519.8350000000003,6.219400000000005,2,3,47.61000000000001,0.4301886414620637,2.817240727633168,O=C1NCc2c(-c3ccccc3)cc(CN3CCNCC3)cc2N1c1ccccc1,False,True,True,True,True,True,False,True,False,True,False
CC(C)(C)N1CCC(c2cc(-c3ccc(F)cc3F)c3ccc(=O)n(-c4c(Cl)cccc4Cl)c3c2)CC1,541.4690000000002,8.220600000000005,0,2,25.240000000000002,0.2611991298477989,2.8136245771813098,O=c1ccc2c(-c3ccccc3)cc(C3CCNCC3)cc2n1-c1ccccc1,False,False,False,False,True,True,False,True,True,False,False
