mol_id,chembl_id,exp_ic50_nM,exp_pIC50,pred_IC50_uM,pred_pIC50,p_bind
mol_0001,CHEMBL526110,0.3,9.52,0.0003917173027605572,9.407027244567871,0.9199930429458618
mol_0002,CHEMBL317703,0.33,9.48,0.0025396323536647607,8.595229148864746,0.9504203796386719
mol_0003,CHEMBL321517,0.34,9.47,0.026871311543647535,7.570711135864258,0.8763309717178345
mol_0004,CHEMBL388978,0.36,9.44,0.0017906855657294344,8.746980667114258,0.7726815938949585
mol_0005,CHEMBL476577,0.5,9.3,0.009091066324514136,8.041385173797607,0.8820602893829346
mol_0006,CHEMBL1964259,0.54,9.27,0.0007253140411038439,9.139473915100098,0.8851566910743713
mol_0007,CHEMBL4088242,0.8,9.1,0.035326294676631974,7.451901912689209,0.6601347923278809
mol_0008,CHEMBL3919361,0.857,9.07,0.057535937469871144,7.240060806274414,0.701391339302063
mol_0009,CHEMBL509406,1.0,9.0,0.007319106794962038,8.135541915893555,0.8111245632171631
mol_0010,CHEMBL559513,1.0,9.0,0.007371641415825635,8.13243579864502,0.8785057663917542
mol_0012,CHEMBL73303,1.0,9.0,0.0015684229212499681,8.804536819458008,0.954349160194397
mol_0013,CHEMBL4292930,1.0,9.0,0.0081531146105625,8.088676452636719,0.974620521068573
mol_0014,CHEMBL478409,1.0,9.0,0.019369373506167922,7.712884426116943,0.9037330150604248
mol_0015,CHEMBL5266005,1.0,9.0,0.001779642760876145,8.749667167663574,0.9700394868850708
mol_0016,CHEMBL2103840,1.0,9.0,0.0022076258770343483,8.656074523925781,0.970037579536438
mol_0017,CHEMBL5171657,1.0,9.0,0.0034644380294248,8.460367202758789,0.9671608209609985
mol_0018,CHEMBL1171950,1.0,9.0,0.011445223227775695,7.941375732421875,0.8824530839920044
mol_0019,CHEMBL4462530,1.0,9.0,0.019221182310577664,7.716219902038574,0.7656997442245483
mol_0020,CHEMBL3890528,1.08,8.97,0.007577636489747239,8.120466232299805,0.6532480120658875
mol_0021,CHEMBL318999,1.1,8.96,0.03332951974188103,7.477170944213867,0.7615927457809448
mol_0022,CHEMBL5201870,1.1,8.96,0.5320099116314552,6.274080276489258,0.72152179479599
mol_0023,CHEMBL411224,1.2,8.92,0.0013478972637413272,8.870343208312988,0.9388368129730225
mol_0024,CHEMBL270544,1.5,8.82,0.0016624292796477067,8.779256820678711,0.9077933430671692
mol_0027,CHEMBL271136,1.7,8.77,0.007092402294992523,8.149206638336182,0.8009437918663025
mol_0028,CHEMBL429142,1.9,8.72,0.08295199178621414,7.0811731815338135,0.778377890586853
mol_0029,CHEMBL191003,2.0,8.7,0.004616576027351184,8.33568000793457,0.9459118843078613
mol_0030,CHEMBL487067,2.0,8.7,0.00867813685276374,8.061573505401611,0.9225794672966003
mol_0031,CHEMBL454648,2.0,8.7,0.013958747114215827,7.855153560638428,0.8805259466171265
mol_0032,CHEMBL455657,2.0,8.7,0.0007097754092615705,9.148879051208496,0.9544174671173096
mol_0033,CHEMBL3648116,2.0,8.7,0.000584629854445652,9.233119010925293,0.9391838312149048
mol_0034,CHEMBL259838,2.0,8.7,0.14916377909267522,6.826336622238159,0.49615347385406494
mol_0035,CHEMBL359794,2.0,8.7,0.0007155264656080835,9.145374298095703,0.9087849855422974
mol_0036,CHEMBL194721,2.0,8.7,0.0012003648737749569,8.920686721801758,0.9223935604095459
mol_0037,CHEMBL260416,2.0,8.7,0.10125403527580781,6.994587659835815,0.49519598484039307
mol_0038,CHEMBL3648117,2.0,8.7,0.0008108246883363881,9.091073036193848,0.9380807876586914
mol_0039,CHEMBL3298985,2.0,8.7,0.019026811533927768,7.7206339836120605,0.49764350056648254
mol_0040,CHEMBL560817,2.0,8.7,0.013671647919094459,7.8641791343688965,0.8957275152206421
mol_0041,CHEMBL559845,2.0,8.7,0.005874997454854351,8.230992317199707,0.8876960277557373
mol_0042,CHEMBL3298199,2.0,8.7,0.03543117439691691,7.4506144523620605,0.5740006566047668
mol_0043,CHEMBL192602,2.0,8.7,0.32874474258603986,6.483141183853149,0.7625604867935181
mol_0044,CHEMBL462385,2.0,8.7,0.003644779477299001,8.438328742980957,0.9197738766670227
mol_0045,CHEMBL460102,2.0,8.7,0.00258496463042489,8.587545394897461,0.9426700472831726
mol_0046,CHEMBL488257,2.0,8.7,0.039040043766485046,7.40848970413208,0.7925430536270142
mol_0048,CHEMBL462192,2.0,8.7,0.0031594387995405133,8.50039005279541,0.93373703956604
mol_0049,CHEMBL453862,2.0,8.7,0.015331546891961466,7.814414024353027,0.9028118848800659
mol_0050,CHEMBL190446,2.0,8.7,0.39630962527468605,6.401965379714966,0.6498635411262512
mol_0051,CHEMBL411887,2.0,8.7,0.024120441558276983,7.61761474609375,0.5678268074989319
mol_0052,CHEMBL495696,2.0,8.7,0.0005396710195508833,9.267870903015137,0.9133343696594238
mol_0053,CHEMBL460087,2.0,8.7,0.0026171008207160995,8.582179546356201,0.938247799873352
mol_0055,CHEMBL178769,2.0,8.7,0.0008411073296171998,9.075148582458496,0.8890573978424072
mol_0056,CHEMBL409731,2.1,8.68,0.04727438345623139,7.325374126434326,0.7620092630386353
mol_0059,CHEMBL4568087,2.2,8.66,0.014231516187356378,7.8467488288879395,0.5462242364883423
mol_0061,CHEMBL5095094,2.4,8.62,0.008102551274744425,8.091378211975098,0.6907534003257751
mol_0062,CHEMBL4077071,2.47,8.61,0.0008329858183556213,9.079362392425537,0.8782787919044495
mol_0064,CHEMBL411426,2.5,8.6,0.0002939375317694996,9.531744956970215,0.9647048115730286
mol_0065,CHEMBL1794055,2.8,8.55,0.0024412397649096343,8.61238956451416,0.858018159866333
mol_0067,CHEMBL5568620,2.8,8.55,0.009498424960703801,8.022348403930664,0.617906391620636
mol_0068,CHEMBL453629,3.0,8.52,0.008343963845810091,8.078627586364746,0.8575823307037354
mol_0069,CHEMBL478407,3.0,8.52,0.05824879191079145,7.234713077545166,0.7625388503074646
mol_0070,CHEMBL518383,3.0,8.52,0.41968469890868115,6.377076864242554,0.734900712966919
mol_0071,CHEMBL455195,3.0,8.52,0.003929117575253544,8.405704975128174,0.8861157894134521
mol_0073,CHEMBL4644434,3.0,8.52,0.018729585729672454,7.727471828460693,0.9601614475250244
mol_0074,CHEMBL488084,3.0,8.52,0.010825659066742186,7.965545654296875,0.8756250143051147
mol_0075,CHEMBL497564,3.0,8.52,0.0016866335716655058,8.772979259490967,0.8688421249389648
mol_0076,CHEMBL477785,3.0,8.52,0.004583479340595738,8.338804721832275,0.875848650932312
mol_0077,CHEMBL3644026,3.0,8.52,0.0004398608561910003,9.356684684753418,0.9687559604644775
mol_0078,CHEMBL3648109,3.0,8.52,0.00030506250230186486,9.515611171722412,0.9683772325515747
mol_0079,CHEMBL188938,3.0,8.52,0.0007895382950167486,9.10262680053711,0.9055987596511841
mol_0080,CHEMBL401303,3.0,8.52,0.00047772005050249487,9.320826530456543,0.9492325782775879
mol_0081,CHEMBL269883,3.0,8.52,0.005929796887758437,8.226960182189941,0.8015084266662598
mol_0082,CHEMBL1234833,3.0,8.52,0.017806278359208207,7.74942684173584,0.9511395692825317
mol_0083,CHEMBL453655,3.0,8.52,0.006344212200791083,8.197622299194336,0.9088614583015442
mol_0084,CHEMBL508129,3.0,8.52,0.013884125170933397,7.857481479644775,0.8845822811126709
mol_0085,CHEMBL311464,3.0,8.52,0.056652879500072265,7.2467780113220215,0.5541476011276245
mol_0086,CHEMBL2163996,3.0,8.52,0.08177441482139107,7.087382555007935,0.6641709208488464
mol_0087,CHEMBL1944698,3.0,8.52,0.030993834560044994,7.508724689483643,0.8222519159317017
mol_0088,CHEMBL490481,2.999,8.52,0.11469577606789419,6.940452575683594,0.5272991061210632
mol_0089,CHEMBL3545083,3.0,8.52,0.0077930663534918785,8.108291625976562,0.7113044857978821
mol_0091,CHEMBL2163995,3.4,8.47,0.009271881112560523,8.032832145690918,0.7598835229873657
mol_0092,CHEMBL215803,3.4,8.47,0.06745406121505529,7.170991897583008,0.7276914119720459
mol_0093,CHEMBL271160,3.4,8.47,0.000497308302212361,9.303374290466309,0.9629393815994263
mol_0094,CHEMBL1964251,3.6,8.44,0.0005284760641857317,9.27697467803955,0.9347941875457764
mol_0095,CHEMBL3648095,4.0,8.4,0.0002947804207068063,9.530501365661621,0.9523833990097046
mol_0096,CHEMBL3648111,4.0,8.4,0.0002084194547086078,9.681061744689941,0.9658104181289673
mol_0098,CHEMBL3357950,4.0,8.4,0.03340634664473462,7.476171016693115,0.4028521776199341
mol_0099,CHEMBL3648113,4.0,8.4,0.0003800574439106301,9.420150756835938,0.9127013683319092
mol_0100,CHEMBL3648108,4.0,8.4,0.00042313983974075035,9.373516082763672,0.9520671963691711
mol_0101,CHEMBL485618,4.0,8.4,0.011897132931130944,7.924557685852051,0.8854289054870605
mol_0102,CHEMBL2163997,4.0,8.4,0.12095702905288191,6.9173688888549805,0.763016939163208
mol_0103,CHEMBL3648122,4.0,8.4,0.00039677135085981004,9.401459693908691,0.940952479839325
mol_0104,CHEMBL3648112,4.0,8.4,0.00022222488898064746,9.653207302093506,0.9723082780838013
mol_0105,CHEMBL178179,4.0,8.4,0.0030597592463296247,8.514312744140625,0.8659635186195374
mol_0106,CHEMBL3648118,4.0,8.4,0.00036055343930879345,9.44303035736084,0.9663060903549194
mol_0107,CHEMBL60541,4.0,8.4,0.011473507332034288,7.940303802490234,0.6634752154350281
mol_0108,CHEMBL3648106,4.0,8.4,0.0011313785501431866,8.946392059326172,0.90924471616745
mol_0109,CHEMBL4741442,4.0,8.4,0.0007553422670186955,9.121856212615967,0.935608983039856
mol_0110,CHEMBL3648076,4.0,8.4,0.0005180653615390413,9.28561544418335,0.921368420124054
mol_0111,CHEMBL518826,4.0,8.4,0.01677355475134989,7.775374889373779,0.8186013698577881
mol_0112,CHEMBL3648096,4.0,8.4,0.00033714170664527306,9.472187519073486,0.945830225944519
mol_0113,CHEMBL23327,4.0,8.4,0.0758817684202477,7.1198625564575195,0.7092281579971313
mol_0114,CHEMBL5188322,4.0,8.4,0.005926360250919663,8.227211952209473,0.7720506191253662
mol_0115,CHEMBL3648107,4.0,8.4,0.0004519653220631844,9.344894886016846,0.9489349722862244
mol_0116,CHEMBL468963,4.0,8.4,0.007986414677056153,8.09764814376831,0.6558732390403748
mol_0117,CHEMBL293068,4.0,8.4,0.1690660596327117,6.77194356918335,0.6726531386375427
mol_0118,CHEMBL73243,4.0,8.4,0.0003880248664463022,9.411140441894531,0.9583421945571899
mol_0119,CHEMBL489477,3.999,8.4,0.14609542358297606,6.835363388061523,0.5834157466888428
mol_0120,CHEMBL514197,4.1,8.39,0.5623320638581469,6.250007152557373,0.3065747916698456
mol_0121,CHEMBL1964244,4.3,8.37,0.004484291344422113,8.34830617904663,0.8328042030334473
mol_0122,CHEMBL3655762,4.5,8.35,0.009712070807881163,8.012688159942627,0.9333798885345459
mol_0124,CHEMBL410883,4.5,8.35,0.003697427814767436,8.432100296020508,0.897149920463562
mol_0125,CHEMBL272667,4.6,8.34,0.002417643905137107,8.616607666015625,0.9005141258239746
mol_0127,CHEMBL314397,4.6,8.34,0.0073264795846851825,8.135104656219482,0.6951614618301392
mol_0128,CHEMBL1964246,4.7,8.33,0.001459014603977204,8.83594036102295,0.8888328075408936
mol_0129,CHEMBL3648123,5.0,8.3,0.0007973044769831463,9.098375797271729,0.9411242604255676
mol_0130,CHEMBL481562,5.0,8.3,0.09437191911214816,7.02515721321106,0.5283428430557251
mol_0131,CHEMBL500804,5.0,8.3,4.052014794977765,5.392328977584839,0.6942965984344482
mol_0132,CHEMBL1241849,5.0,8.3,0.08705793642996779,7.060191631317139,0.6409345865249634
mol_0133,CHEMBL452601,5.0,8.3,0.0024044395903444478,8.618986129760742,0.9289003610610962
mol_0134,CHEMBL72509,5.0,8.3,0.021708049721668902,7.663379192352295,0.8084379434585571
mol_0135,CHEMBL123368,5.0,8.3,0.14868648342261337,6.827728509902954,0.7342019081115723
mol_0136,CHEMBL70824,5.0,8.3,0.003617608886147268,8.441578388214111,0.8812764883041382
mol_0137,CHEMBL4579344,5.0,8.3,0.09389437181232067,7.027360439300537,0.8685152530670166
mol_0138,CHEMBL3109950,5.0,8.3,0.001108527314948705,8.955253601074219,0.9444884061813354
mol_0139,CHEMBL4764173,5.0,8.3,0.01149659642854802,7.9394307136535645,0.9341452121734619
mol_0140,CHEMBL260163,5.0,8.3,0.5220139670577821,6.282317876815796,0.6074278354644775
mol_0141,CHEMBL5195030,5.0,8.3,0.019000674418299383,7.721230983734131,0.9321412444114685
mol_0142,CHEMBL427909,5.0,8.3,0.4609674940740695,6.336329698562622,0.5186172723770142
mol_0143,CHEMBL415471,5.0,8.3,0.34487165352375254,6.4623425006866455,0.6466426253318787
mol_0144,CHEMBL72548,5.0,8.3,0.0009909979798236072,9.003927230834961,0.9482213258743286
mol_0145,CHEMBL79498,5.0,8.3,0.024424033266231084,7.6121826171875,0.5156564116477966
mol_0146,CHEMBL260417,5.0,8.3,0.281967857264328,6.549800395965576,0.48234522342681885
mol_0147,CHEMBL3354186,5.0,8.3,0.01730608200022078,7.761801242828369,0.8009547591209412
mol_0148,CHEMBL4095226,5.5,8.26,0.009177173661900144,8.037291049957275,0.8338388204574585
mol_0150,CHEMBL1964242,5.6,8.25,0.0016236025933196617,8.789520263671875,0.8540596961975098
mol_0154,CHEMBL488436,6.0,8.22,0.0063410784193056275,8.197836875915527,0.8999238014221191
mol_0155,CHEMBL520353,6.0,8.22,0.012928025834719085,7.888467788696289,0.9000759124755859
mol_0156,CHEMBL3642650,6.0,8.22,0.0005815721683567421,9.235396385192871,0.9494297504425049
mol_0157,CHEMBL3648072,6.0,8.22,0.0006363410740804123,9.196310043334961,0.940760612487793
mol_0158,CHEMBL3644024,6.0,8.22,0.000732079456482368,9.135441780090332,0.937965989112854
mol_0159,CHEMBL510436,6.0,8.22,0.04409314055042344,7.355628967285156,0.805953860282898
mol_0160,CHEMBL3644032,6.0,8.22,0.0008706443651852795,9.06015920639038,0.9357866048812866
mol_0161,CHEMBL3648110,6.0,8.22,0.00032145213734851273,9.492883682250977,0.9662125110626221
mol_0162,CHEMBL6020156,6.02,8.22,0.0004530041498439211,9.343897819519043,0.7887574434280396
mol_0163,CHEMBL103355,6.0,8.22,0.001149387023101879,8.939533710479736,0.9151127934455872
mol_0164,CHEMBL3648114,6.0,8.22,0.00038102929429988667,9.419041633605957,0.9124611020088196
mol_0165,CHEMBL3648115,6.0,8.22,0.0008882719186410672,9.051454067230225,0.901178240776062
mol_0166,CHEMBL476993,6.0,8.22,0.002882366634062794,8.540250778198242,0.8631100654602051
mol_0167,CHEMBL3648119,6.0,8.22,0.00044335770956597376,9.353245735168457,0.961449384689331
mol_0168,CHEMBL1241567,6.0,8.22,0.08672897907750356,7.061835765838623,0.6112841367721558
mol_0169,CHEMBL460103,6.0,8.22,0.002113676082224509,8.674961566925049,0.9506571888923645
mol_0170,CHEMBL4562323,6.4,8.19,0.28214592708706565,6.549526214599609,0.6110050082206726
mol_0171,CHEMBL6002674,6.68,8.18,0.00024923242203318564,9.603395462036133,0.8110687136650085
mol_0172,CHEMBL410072,6.8,8.17,0.0016188498938259261,8.790793418884277,0.9074617624282837
mol_0173,CHEMBL2158843,6.7,8.17,0.008208561628427721,8.08573293685913,0.8525588512420654
mol_0174,CHEMBL360573,7.0,8.15,0.003014025743445105,8.520853042602539,0.8775720596313477
mol_0175,CHEMBL256558,7.0,8.15,0.0767634501040893,7.114845514297485,0.785094141960144
mol_0176,CHEMBL402158,7.0,8.15,0.04910679669023325,7.308858394622803,0.7475081086158752
mol_0177,CHEMBL191336,7.0,8.15,0.016415669445067168,7.784741401672363,0.7615526914596558
mol_0178,CHEMBL150261,7.0,8.15,0.030654824400063906,7.513501167297363,0.8614048957824707
mol_0179,CHEMBL402370,7.0,8.15,0.05982380957339787,7.22312593460083,0.7997574806213379
mol_0180,CHEMBL3648094,7.0,8.15,0.0005167048414276757,9.286757469177246,0.9507105350494385
mol_0181,CHEMBL3648125,7.0,8.15,0.00046325144631859447,9.33418321609497,0.9472759962081909
mol_0182,CHEMBL495557,7.0,8.15,0.0017079992613185122,8.767512321472168,0.9704376459121704
mol_0183,CHEMBL3084839,7.0,8.15,0.02843998901337593,7.546070575714111,0.6975395083427429
mol_0184,CHEMBL3648083,7.0,8.15,0.0006807046201012748,9.167041301727295,0.9162944555282593
mol_0186,CHEMBL312726,7.0,8.15,0.013028656537154655,7.885100364685059,0.6540484428405762
mol_0187,CHEMBL3639469,7.0,8.15,0.0005219552225416896,9.282366752624512,0.9453606009483337
mol_0188,CHEMBL5994315,7.34,8.13,0.0004510615831181854,9.34576416015625,0.8271771669387817
mol_0189,CHEMBL5800538,7.34,8.13,0.0003379106797922069,9.471198081970215,0.8527398705482483
mol_0191,CHEMBL4756353,7.8,8.11,0.001603134214229727,8.795030117034912,0.7725255489349365
mol_0192,CHEMBL515001,8.0,8.1,0.011224995025869837,7.9498138427734375,0.8533146381378174
mol_0193,CHEMBL485240,8.0,8.1,0.008452223232181718,8.073029041290283,0.8717755079269409
mol_0194,CHEMBL478828,8.0,8.1,0.03980952814748811,7.400012969970703,0.8117114305496216
mol_0195,CHEMBL411425,7.9,8.1,0.0005368520103360729,9.270145416259766,0.9565781950950623
mol_0196,CHEMBL520187,8.0,8.1,0.0046419744674105175,8.33329725265503,0.9117138385772705
mol_0197,CHEMBL359554,8.0,8.1,0.0009965495941780386,9.001501083374023,0.9527852535247803
mol_0198,CHEMBL484571,8.0,8.1,0.007051993463712076,8.15168809890747,0.8670007586479187
mol_0199,CHEMBL367150,8.0,8.1,0.002093535902279724,8.67911958694458,0.9230314493179321
mol_0200,CHEMBL488085,8.0,8.1,0.030506886633949515,7.515602111816406,0.9006967544555664
mol_0201,CHEMBL3648102,8.0,8.1,0.0014734258510356634,8.831671714782715,0.9254674315452576
mol_0202,CHEMBL3648128,8.0,8.1,0.0032878896168524103,8.48308277130127,0.9129757285118103
mol_0203,CHEMBL3644033,8.0,8.1,0.001275693284219518,8.894253730773926,0.9320694208145142
mol_0204,CHEMBL3648074,8.0,8.1,0.000673484578696552,9.171672344207764,0.9389771223068237
mol_0205,CHEMBL1230607,8.0,8.1,0.008368092946383906,8.077373504638672,0.9479540586471558
mol_0206,CHEMBL3648082,8.0,8.1,0.0004124404135843322,9.384638786315918,0.9325220584869385
mol_0207,CHEMBL334285,8.0,8.1,0.009444370076589024,8.024827003479004,0.7055744528770447
mol_0208,CHEMBL6020742,8.43,8.07,0.0003940094771593441,9.40449333190918,0.853894829750061
mol_0209,CHEMBL5794081,8.43,8.07,0.00042133273840211957,9.375374794006348,0.7720825672149658
mol_0210,CHEMBL5583697,8.5,8.07,0.00040073089037471544,9.397147178649902,0.9721757173538208
mol_0211,CHEMBL4282338,9.0,8.05,0.0009350415661867607,9.029169082641602,0.9487773180007935
mol_0212,CHEMBL508739,9.0,8.05,0.008029673658170209,8.095302104949951,0.8818769454956055
mol_0213,CHEMBL254979,9.0,8.05,0.020803810584209343,7.681857109069824,0.8110579252243042
mol_0214,CHEMBL3648120,9.0,8.05,0.0005141706162644999,9.28889274597168,0.9529625773429871
mol_0215,CHEMBL3775792,9.0,8.05,0.009240071972003659,8.034324645996094,0.826596736907959
mol_0216,CHEMBL362560,9.0,8.05,0.3252205232232784,6.48782205581665,0.6193819046020508
mol_0217,CHEMBL23254,9.0,8.05,0.006440271423808642,8.19109582901001,0.7354339361190796
mol_0218,CHEMBL255718,9.0,8.05,0.01061701441654856,7.973997592926025,0.874690055847168
mol_0219,CHEMBL2158844,8.9,8.05,0.04631171872748703,7.334309101104736,0.8225321173667908
mol_0220,CHEMBL3648121,9.0,8.05,0.0005230486662462338,9.281457901000977,0.9485557675361633
mol_0221,CHEMBL3298418,9.0,8.05,0.0533003850786094,7.2732696533203125,0.5212027430534363
mol_0222,CHEMBL514690,9.0,8.05,0.037917923607553264,7.4211554527282715,0.8305544853210449
mol_0223,CHEMBL3648084,9.0,8.05,0.0012984429438784974,8.886577129364014,0.8971518278121948
mol_0224,CHEMBL58224,9.0,8.05,0.0015819040072168867,8.800819873809814,0.826888918876648
mol_0225,CHEMBL1234087,8.9,8.05,0.12198169140958565,6.913705348968506,0.6875298619270325
mol_0226,CHEMBL455467,9.0,8.05,0.01913048072691795,7.718274116516113,0.8809542059898376
mol_0227,CHEMBL408210,8.9,8.05,0.00937649773886571,8.02795934677124,0.8656485080718994
mol_0228,CHEMBL4442620,9.0,8.05,0.0008610569785169282,9.06496810913086,0.9454748034477234
mol_0229,CHEMBL294884,9.0,8.05,0.006842211507837713,8.164803504943848,0.6446355581283569
mol_0231,CHEMBL496785,9.0,8.05,0.015586805987195597,7.8072428703308105,0.872535228729248
mol_0232,CHEMBL5287128,9.0,8.05,0.0013629292868367834,8.865526676177979,0.9348028302192688
mol_0233,CHEMBL490480,8.995,8.05,0.29896117114908366,6.524385213851929,0.5380859375
mol_0234,CHEMBL291324,9.0,8.05,1156.0518525629961,2.9370226860046387,0.26998844742774963
mol_0235,CHEMBL103104,9.1,8.04,0.0017505731980371785,8.756819725036621,0.9633110761642456
mol_0237,CHEMBL2112297,9.5,8.02,0.002282405028418308,8.641607284545898,0.8688540458679199
mol_0239,CHEMBL4788136,9.86,8.01,0.0007523055605485364,9.123605728149414,0.9397299289703369
mol_0240,CHEMBL1276446,9.7,8.01,0.005764488593365497,8.23923921585083,0.8865563273429871
mol_0241,CHEMBL3298678,10.0,8.0,0.0599666455518527,7.222090244293213,0.5680840611457825
mol_0242,CHEMBL1171948,10.0,8.0,0.660547917024378,6.180095672607422,0.8191897869110107
mol_0243,CHEMBL257831,10.0,8.0,0.012567278999047358,7.900758743286133,0.8645239472389221
mol_0245,CHEMBL189963,10.0,8.0,1.2194111712972089,5.913849830627441,0.28988662362098694
mol_0246,CHEMBL404504,10.0,8.0,0.07090253364236662,7.149338245391846,0.7329213619232178
mol_0247,CHEMBL3648073,10.0,8.0,0.0015552564990808928,8.808197975158691,0.9337613582611084
mol_0248,CHEMBL319903,10.0,8.0,0.010917426323960488,7.961879730224609,0.8321704864501953
mol_0249,CHEMBL189934,10.0,8.0,1.5148283232443744,5.819636583328247,0.13869766891002655
mol_0250,CHEMBL3354187,10.0,8.0,0.01761077873827716,7.754221439361572,0.7626893520355225
mol_0251,CHEMBL255262,10.0,8.0,0.056119777940788415,7.250884056091309,0.7888047695159912
mol_0252,CHEMBL403605,10.0,8.0,0.05410130021722612,7.266792297363281,0.7874472141265869
mol_0253,CHEMBL178785,10.0,8.0,0.0005639687440084938,9.24874496459961,0.9333692789077759
mol_0254,CHEMBL415789,10.0,8.0,0.09094176127859807,7.041236639022827,0.7584435939788818
mol_0255,CHEMBL402157,10.0,8.0,0.10943300643539355,6.960851669311523,0.776542067527771
mol_0256,CHEMBL4173631,10.0,8.0,0.014108747110121406,7.85051155090332,0.8462188243865967
